ID,elevation
12142728,81
1042539,113
5240336,91
3641653,132
7140207,75
9440215,255
10640207,75
240031,115
9140504,133
9540502,133
11442754,75
7341101,184
2640444,121
2440601,136
10942101,153
2040484,148
4942078,0
5842420,121
440383,112
10542718,133
8742642,146
8640456,144
140207,75
4040202,133
4440204,133
7540205,133
11740202,133
7941240,201
5641056,98
10041042,78
8140977,45
2140422,99
9740033,115
6342345,133
742445,69
10442141,99
12042240,182
8041501,98
3341701,93
12341503,73
189541018,78
14737331,133
7642303,62
3438562,149
8038401,183
8338305,0
6538242,133
10840330,118
137830,255
437367,240
14837371,111
2237207,245
7737402,255
2737403,255
6037172,16
637762,108
10237604,72
15937067,88
15137321,255
6137130,167
4037917,138
11337620,90
15237869,145
11537660,163
102442431,163
5942437,255
4140065,99
11042134,133
1842240,163
3942241,182
8543202,62
12540202,133
7742041,0
3042701,104
3541017,150
7242347,193
7038008,145
4341339,132
640143,21
5042276,158
10141075,160
11942003,85
1742717,149
5740962,172
11142164,114
5541647,83
8841649,202
1142749,167
17037777,119
17237748,255
10241097,149
4840160,116
2341041,133
1240503,133
1940508,133
3241031,152
11342211,133
9642104,153
5441749,107
11842633,46
340701,121
4640906,188
9240741,121
11241230,141
1340223,70
8940403,65
5342025,0
2540202,133
6840217,133
6940241,70
10740242,99
6741012,150
10341014,150
6040965,120
5142003,85
173640206,221
175640502,133
173741075,160
2937203,138
102640475,99
2437218,199
17637620,90
12937916,138
8437083,136
8938118,133
8238301,121
7637403,255
5537096,0
5738501,124
18138301,121
12440232,133
175740511,133
1542602,96
3842743,133
6640311,118
6540359,76
840504,133
8738120,133
7040202,133
6142167,110
9340353,136
941008,173
4742502,158
1642064,0
4240031,115
8340509,133
11540508,133
14537343,255
9338128,133
12738104,133
13038017,0
13338120,133
9238138,133
15437334,99
3237076,163
10537601,72
10037074,253
5038063,193
5338261,205
237160,65
15537160,81
5137874,124
10437604,72
1038201,109
1337879,198
12037203,138
1938555,145
3138363,62
2137208,138
7937814,78
7137402,255
1837355,133
4338556,4
12237087,114
16238485,27
11640536,133
8838138,133
16637604,72
1737388,80
9738105,133
6738012,2
737766,156
15637091,84
3140831,132
3442701,104
9040509,133
3742066,74
2942102,153
8442103,153
12241858,130
2840324,133
9941017,150
4541101,202
540361,121
2741042,78
6442071,145
2240004,75
6241472,172
14637317,81
16538104,133
6237841,36
1137643,90
15337110,160
1438551,106
11237030,123
7437412,167
7537421,103
1637355,133
4238068,14
16738019,133
7837404,255
16138464,130
5937748,242
12637375,0
4538343,0
16338358,62
4638478,51
4937061,138
6437033,182
6837857,166
11038237,2
3737916,138
3837923,148
13637934,148
13737934,148
14537684,72
4737745,113
